name,group,order,family,species,,New_group,,
black-bellied whistling-duck,ducks,anseriformes,anatidae,dendrocygna autumnalis,,whistling & diving ducks,,
fulvous whistling-duck,ducks,anseriformes,anatidae,dendrocygna bicolor,,whistling & diving ducks,,
emperor goose,geese,anseriformes,anatidae,anser canagicus,,geese & swans,,
snow goose,geese,anseriformes,anatidae,anser caerulescens,,geese & swans,,
ross's goose,geese,anseriformes,anatidae,anser rossii,,geese & swans,,
greater white-fronted goose,geese,anseriformes,anatidae,anser albifrons,,geese & swans,,
brant,geese,anseriformes,anatidae,branta bernicla,,geese & swans,,
cackling goose,geese,anseriformes,anatidae,branta hutchinsii,,geese & swans,,
canada goose,geese,anseriformes,anatidae,branta canadensis,,geese & swans,,
mute swan,swans,anseriformes,anatidae,cygnus olor,,geese & swans,,
trumpeter swan,swans,anseriformes,anatidae,cygnus buccinator,,geese & swans,,
tundra swan,swans,anseriformes,anatidae,cygnus columbianus,,geese & swans,,
muscovy duck,ducks,anseriformes,anatidae,cairina moschata,,dabbling ducks,,
wood duck,ducks,anseriformes,anatidae,aix sponsa,,dabbling ducks,,
blue-winged teal,ducks,anseriformes,anatidae,spatula discors,,dabbling ducks,,
cinnamon teal,ducks,anseriformes,anatidae,spatula cyanoptera,,dabbling ducks,,
northern shoveler,ducks,anseriformes,anatidae,spatula clypeata,,dabbling ducks,,
gadwall,ducks,anseriformes,anatidae,mareca strepera,,dabbling ducks,,
eurasian wigeon,ducks,anseriformes,anatidae,mareca penelope,,dabbling ducks,,
american wigeon,ducks,anseriformes,anatidae,mareca americana,,dabbling ducks,,
mallard,ducks,anseriformes,anatidae,anas platyrhynchos,,dabbling ducks,,
american black duck,ducks,anseriformes,anatidae,anas rubripes,,dabbling ducks,,
mottled duck,ducks,anseriformes,anatidae,anas fulvigula,,dabbling ducks,,
northern pintail,ducks,anseriformes,anatidae,anas acuta,,dabbling ducks,,
green-winged teal,ducks,anseriformes,anatidae,anas crecca,,dabbling ducks,,
canvasback,ducks,anseriformes,anatidae,aythya valisineria,,whistling & diving ducks,,
redhead,ducks,anseriformes,anatidae,aythya americana,,whistling & diving ducks,,
ring-necked duck,ducks,anseriformes,anatidae,aythya collaris,,whistling & diving ducks,,
greater scaup,ducks,anseriformes,anatidae,aythya marila,,whistling & diving ducks,,
lesser scaup,ducks,anseriformes,anatidae,aythya affinis,,whistling & diving ducks,,
steller's eider,ducks,anseriformes,anatidae,polysticta stelleri,,sea ducks,,
king eider,ducks,anseriformes,anatidae,somateria spectabilis,,sea ducks,,
common eider,ducks,anseriformes,anatidae,somateria mollissima,,sea ducks,,
harlequin duck,ducks,anseriformes,anatidae,histrionicus histrionicus,,sea ducks,,
surf scoter,ducks,anseriformes,anatidae,melanitta perspicillata,,sea ducks,,
white-winged scoter,ducks,anseriformes,anatidae,melanitta fusca,,sea ducks,,
black scoter,ducks,anseriformes,anatidae,melanitta americana,,sea ducks,,
long-tailed duck,ducks,anseriformes,anatidae,clangula hyemalis,,sea ducks,,
bufflehead,ducks,anseriformes,anatidae,bucephala albeola,,sea ducks,,
common goldeneye,ducks,anseriformes,anatidae,bucephala clangula,,sea ducks,,
barrow's goldeneye,ducks,anseriformes,anatidae,bucephala islandica,,sea ducks,,
hooded merganser,ducks,anseriformes,anatidae,lophodytes cucullatus,,sea ducks,,
common merganser,ducks,anseriformes,anatidae,mergus merganser,,sea ducks,,
red-breasted merganser,ducks,anseriformes,anatidae,mergus serrator,,sea ducks,,
ruddy duck,ducks,anseriformes,anatidae,oxyura jamaicensis,,dabbling ducks,,
plain chachalaca,game birds,galliformes,cracidae,ortalis vetula,,other game birds,,
mountain quail,game birds,galliformes,odontophoridae,oreortyx pictus,,other game birds,,
northern bobwhite,game birds,galliformes,odontophoridae,colinus virginianus,,other game birds,,
scaled quail,game birds,galliformes,odontophoridae,callipepla squamata,,other game birds,,
california quail,game birds,galliformes,odontophoridae,callipepla californica,,other game birds,,
gambel's quail,game birds,galliformes,odontophoridae,callipepla gambelii,,other game birds,,
montezuma quail,game birds,galliformes,odontophoridae,cyrtonyx montezumae,,other game birds,,
chukar,game birds,galliformes,phasianidae,alectoris chukar,,grouse & pheasants,,
ring-necked pheasant,game birds,galliformes,phasianidae,phasianus colchicus,,grouse & pheasants,,
gray partridge,game birds,galliformes,phasianidae,perdix perdix,,grouse & pheasants,,
ruffed grouse,game birds,galliformes,phasianidae,bonasa umbellus,,grouse & pheasants,,
greater sage-grouse,game birds,galliformes,phasianidae,centrocercus urophasianus,,grouse & pheasants,,
gunnison sage-grouse,game birds,galliformes,phasianidae,centrocercus minimus,,grouse & pheasants,,
spruce grouse,game birds,galliformes,phasianidae,falcipennis canadensis,,grouse & pheasants,,
willow ptarmigan,game birds,galliformes,phasianidae,lagopus lagopus,,grouse & pheasants,,
rock ptarmigan,game birds,galliformes,phasianidae,lagopus muta,,grouse & pheasants,,
white-tailed ptarmigan,game birds,galliformes,phasianidae,lagopus leucura,,grouse & pheasants,,
dusky grouse,game birds,galliformes,phasianidae,dendragapus obscurus,,grouse & pheasants,,
sooty grouse,game birds,galliformes,phasianidae,dendragapus fuliginosus,,grouse & pheasants,,
sharp-tailed grouse,game birds,galliformes,phasianidae,tympanuchus phasianellus,,grouse & pheasants,,
greater prairie-chicken,game birds,galliformes,phasianidae,tympanuchus cupido,,grouse & pheasants,,
lesser prairie-chicken,game birds,galliformes,phasianidae,tympanuchus pallidicinctus,,grouse & pheasants,,
wild turkey,game birds,galliformes,phasianidae,meleagris gallopavo,,grouse & pheasants,,
red-throated loon,loons,gaviiformes,gaviidae,gavia stellata,,loons,,
pacific loon,loons,gaviiformes,gaviidae,gavia pacifica,,loons,,
common loon,loons,gaviiformes,gaviidae,gavia immer,,loons,,
least grebe,grebes,podicipediformes,podicipedidae,tachybaptus dominicus,,grebes,,
pied-billed grebe,grebes,podicipediformes,podicipedidae,podilymbus podiceps,,grebes,,
horned grebe,grebes,podicipediformes,podicipedidae,podiceps auritus,,grebes,,
red-necked grebe,grebes,podicipediformes,podicipedidae,podiceps grisegena,,grebes,,
eared grebe,grebes,podicipediformes,podicipedidae,podiceps nigricollis,,grebes,,
western grebe,grebes,podicipediformes,podicipedidae,aechmophorus occidentalis,,grebes,,
clark's grebe,grebes,podicipediformes,podicipedidae,aechmophorus clarkii,,grebes,,
laysan albatross,seabirds,procellariiformes,diomedeidae,phoebastria immutabilis,,seabirds,,
black-footed albatross,seabirds,procellariiformes,diomedeidae,phoebastria nigripes,,seabirds,,
northern fulmar,seabirds,procellariiformes,procellariidae,fulmarus glacialis,,seabirds,,
fork-tailed storm-petrel,seabirds,procellariiformes,hydrobatidae,oceanodroma furcata,,seabirds,,
wood stork,storks,ciconiiformes,ciconiidae,mycteria americana,,storks,,
magnificent frigatebird,seabirds,suliformes,fregatidae,fregata magnificens,,seabirds,,
masked booby,seabirds,suliformes,sulidae,sula dactylatra,,seabirds,,
blue-footed booby,seabirds,suliformes,sulidae,sula nebouxii,,seabirds,,
brown booby,seabirds,suliformes,sulidae,sula leucogaster,,seabirds,,
red-footed booby,seabirds,suliformes,sulidae,sula sula,,seabirds,,
northern gannet,seabirds,suliformes,sulidae,morus bassanus,,seabirds,,
brandt's cormorant,cormorants,suliformes,phalacrocoracidae,phalacrocorax penicillatus,,cormorants,,
pelagic cormorant,cormorants,suliformes,phalacrocoracidae,phalacrocorax pelagicus,,cormorants,,
great cormorant,cormorants,suliformes,phalacrocoracidae,phalacrocorax carbo,,cormorants,,
neotropic cormorant,cormorants,suliformes,phalacrocoracidae,phalacrocorax brasilianus,,cormorants,,
double-crested cormorant,cormorants,suliformes,phalacrocoracidae,phalacrocorax auritus,,cormorants,,
anhinga,anhingas,suliformes,anhingidae,anhinga anhinga,,anhingas,,
american white pelican,pelicans,pelecaniformes,pelecanidae,pelecanus erythrorhynchos,,pelicans,,
brown pelican,pelicans,pelecaniformes,pelecanidae,pelecanus occidentalis,,pelicans,,
american bittern,herons,pelecaniformes,ardeidae,botaurus lentiginosus,,pelicans,,
least bittern,herons,pelecaniformes,ardeidae,ixobrychus exilis,,pelicans,,
great blue heron,herons,pelecaniformes,ardeidae,ardea herodias,,pelicans,,
great egret,herons,pelecaniformes,ardeidae,ardea alba,,pelicans,,
snowy egret,herons,pelecaniformes,ardeidae,egretta thula,,pelicans,,
little blue heron,herons,pelecaniformes,ardeidae,egretta caerulea,,pelicans,,
tricolored heron,herons,pelecaniformes,ardeidae,egretta tricolor,,pelicans,,
reddish egret,herons,pelecaniformes,ardeidae,egretta rufescens,,pelicans,,
cattle egret,herons,pelecaniformes,ardeidae,bubulcus ibis,,pelicans,,other waders
green heron,herons,pelecaniformes,ardeidae,butorides virescens,,pelicans,,
black-crowned night-heron,herons,pelecaniformes,ardeidae,nycticorax nycticorax,,pelicans,,
yellow-crowned night-heron,herons,pelecaniformes,ardeidae,nyctanassa violacea,,pelicans,,
white ibis,ibis,pelecaniformes,threskiornithidae,eudocimus albus,,pelicans,,
glossy ibis,ibis,pelecaniformes,threskiornithidae,plegadis falcinellus,,pelicans,,
white-faced ibis,ibis,pelecaniformes,threskiornithidae,plegadis chihi,,pelicans,,
roseate spoonbill,spoonbills,pelecaniformes,threskiornithidae,platalea ajaja,,pelicans,,
black vulture,vultures,cathartiformes,cathartidae,coragyps atratus,,birds of prey,,
turkey vulture,vultures,cathartiformes,cathartidae,cathartes aura,,birds of prey,,
california condor,vultures,cathartiformes,cathartidae,gymnogyps californianus,,birds of prey,,
osprey,osprey,accipitriformes,pandionidae,pandion haliaetus,,birds of prey,,
white-tailed kite,kites,accipitriformes,accipitridae,elanus leucurus,,birds of prey,,
swallow-tailed kite,kites,accipitriformes,accipitridae,elanoides forficatus,,birds of prey,,
golden eagle,eagles,accipitriformes,accipitridae,aquila chrysaetos,,birds of prey,,
snail kite,kites,accipitriformes,accipitridae,rostrhamus sociabilis,,birds of prey,,
mississippi kite,kites,accipitriformes,accipitridae,ictinia mississippiensis,,birds of prey,,
northern harrier,harriers,accipitriformes,accipitridae,circus hudsonius,,birds of prey,,
sharp-shinned hawk,accipiters,accipitriformes,accipitridae,accipiter striatus,,birds of prey,,
cooper's hawk,accipiters,accipitriformes,accipitridae,accipiter cooperii,,birds of prey,,
northern goshawk,accipiters,accipitriformes,accipitridae,accipiter gentilis,,birds of prey,,
